slug,name,description,ministry,department,state,category,beneficiary_type,benefits,eligibility_text,application_process,documents_required,apply_url,official_url,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_caste,eligibility_income_max,eligibility_residence,eligibility_state,eligibility_disability,eligibility_bpl,scraped_at
ira-wrflsncs," ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",null,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment, Social welfare & Empowerment","Individual, Family","₹ 1,00,000, in two installments of ₹ 50,000 each, as immediate relief assistance for the family (legal heir) of the missing fisherman.
<br>

> **Disbursal**

- Initially, 50% will be extended within 3 months from the date of receipt of the application from the family (legal heir).
- The family (legal heir) should approach this department for the release of the balance 50% of the relief which will be deposited in the bank in a joint account in the name of kin (legal heir) and the competent authority concerned.
- If no further information is received about the missing person, the balance amount will be released in favour of the next of kin (legal heir), after the prescribed period of 9 months from the date of release of 1st part of lump sum.

****In case of the return of the missing fishermen, the amount extended as compensation either ₹ 50,000 or ₹ 1,00,000 as the case may be, will be recovered by invoking an insurance bond.***","- The applicant should be the family (legal heir) of the missing fisherman.
- The missing fisherman should have been a resident of the Union territory of Puducherry.
- The missing fisherman must have lost his/her life while fishing. 
- The missing fisherman must have been in the age group of 18-60 years.
- The missing fisherman must not have been a beneficiary of the old age pension scheme. 
- The missing fisherman should have enrolled as a member of the Fishermen/Fisherwomen Co-operative Society.","[Offline]
Step 1: The interested applicant should visit the office of the concerned authority i.e. the Department of Fisheries and Fishermen Welfare/Sub-Offices of outlying regions in all four regions.
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
*The affected family (legal heir) should apply immediately within 30 days from the date of the event for consideration.","Photograph of the Family (Legal Heir) of the Missing Fisherman.
Residential Certificate of the Missing Fishermen.
Proof of Age of the Missing Fishermen.
Declaration That the Missing Fisherman Was Not a Beneficiary of the Old Age Pension Scheme. 
Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society. 
Electoral Identity Card (Attested Copy)
Ration Card (Attested Copy)
Panchayathar’s Letter of Village Concerned
Name, Relationship, and Address of the Legal Heir (Affidavit in ₹ 5 Stamp Paper, Affixing as the Legal Heir Duly Signed in Before a Notary Public).
‘No Claim’ Certificate in Respect of Financial Assistance Extended by the Revenue Department Should Be Obtained From the Department of Revenue and Disaster Management.
FIR and Non-traceable Certificate From Respective Station House Officer of Police Department.
Statement of Next Kin of Missing Person, Statement of Panchayathars, Statement of Persons Who Have Lastly Seen the Missing Person. 
Advertisement/newspaper Report of the Missing Person in Gazette in Tamil/local Newspaper, Municipality/ Commune Panchayat Office, Ration Shop, and Police Station in the Vernacular Language.",https://fisheries.py.gov.in/sites/default/files/immediate20relief20notification.pdf,https://www.myscheme.gov.in/schemes/ira-wrflsncs,18,60,all,[],null,both,"[""Puducherry""]",false,false,2026-07-05 10:07:38.558+00
astpss," AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME",Short Term Training Programme-SFURTI Program aims to provide financial assistance from AICTE to the institutions for conducting faculty and student trainings to enable faculty members and students in the field of technical education.,Ministry of Education,Department Of Higher Education,Central,Education & Learning,University / Institution,"**Financial Assistance**: Limit of funding ₹ 4,00,000/- to the institution.
**Disbursement of the Fund:** 

1. The full amount of the grant sanctioned shall be released after successful conduct of the program to Indian Micro Enterprises Development Foundation (IMEDF).
1. The amount spent by the institute on the conduct of STTP-SFURTI shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the IMEDF on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc",- The institution should be AICTE approved.,"[Online]
Registration of New Institute:
Step 01: Visit http://portal.aicte-india.org/partnerportal_enu/start.swe and click on 'New Institute' button.
Step 02: Users will be redirected to another website. Hover the cursor on Login and select ‘Investor Login’.
Step 03: New users need to click on ‘Sign Up Now’ to register.
Step 04: Enter the details and click on ‘Verify’ to receive OTP on your Email Id and Mobile Number.
Step 05: After successful verification Click on ‘Sign Up Now’ to register.
Post-Registration Process:
Step 01: Visit http://portal.aicte-india.org/partnerportal_enu/start.swe and log in with the credentials provided by AICTE.
Step 02: Navigate to AQIS Application Screen by clicking on ‘AQIS Application’ screen tab.
Step 03: Institute details will auto populate in the AQIS Application.
Step 04: Fill demographic and Bank details .
Step 05: Only after confirming the Bank Details, the 'New' button will be enabled for adding the AQIS Application.Click on 'New' button to create AQIS Application.
Step 06: A unique AQIS Application ID will get created.Select ‘SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME’ as Scheme from the drop down List.
Step 07: Now details to be filled for the as followed: Programme Details, Personalities Expected, Participating Industries ,Similar Events, Budget Estimate -Others, Academic Credentials of Coordinator/ PI/ Applicant, Justification, Credential of Institute / Department.
Step 07: Once the user has filled all the data in the above mentioned tab, user should click on ‘Validate Application’ button on the ‘AQIS Application’ tab.
Step 08: User will get a pop up message to attach a Mandate Form  after downloading the sample form.
Step 09: Now fill the amount in the ‘Total Funds Requested’ under label ‘Budget Estimates Others’.
Step 10: After Validation is completed successfully, read the declaration, check it and click on Save.
Step 10: Click on 'Submit' button to submit the application.","Feedback Form
Copy of Proceedings
Completion Report",https://www.aicte-india.org/sites/default/files/sfurti/STTP_SFURTI%20scheme%20doc%20amnded%20on%2010%20dec%202021.pdf,https://www.myscheme.gov.in/schemes/astpss,null,null,all,[],null,both,"[""All""]",false,false,2026-07-05 10:11:43.51+00
baepsicodouldwact," Burial and Ex-gratia Payment Scheme in Case of Death of Unregistered Laborer During Work at Construction Site","Launched in 2014, the ""Funeral and Ex-gratia Payment Scheme for Unregistered Laborers"" is a welfare scheme by the M.P. Building and Other Construction Workers Welfare Board, Government of Madhya Pradesh, providing funeral assistance and ex-gratia payments in case of death or permanent disability.",null,Labour Department,Madhya Pradesh,Social welfare & Empowerment,Individual,"1. **Funeral Assistance:** ₹3,000 payable in case of death of a construction laborer.1. **Grace Amount:**

- Death due to an accident during construction work: ₹4,00,000/-.
- Permanent disability due to an accident during construction work: ₹2,00,000/-.","1. The deceased construction worker should have been registered with the Madhya Pradesh Building and Other Construction Workers Welfare Board (MPBOCWWB).
   1. The deceased construction worker should have held an active regular membership.
   1. The only person who is a legal heir/dependent family member of the deceased registered worker is eligible to apply under the scheme.
   1. The deceased worker should have valid identity card.","[Offline]
Step 1: The interested applicant should visit (during office hours) the Chief Executive Officer, District Panchayat and Commissioner/Chief Municipal Officer Municipal Body and request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the authority.
Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
﻿
NOTE 1: Ensure that the application is submitted within the prescribed period, if any.
NOTE 2: The application must be submitted within 6 months from the date of the accident or death.
Designated Officer for Approval -
For rural areas - Chief Executive Officer, District Panchayat
For urban areas - Commissioner/Chief Municipal Officer, Municipal Corporation

[Online]
Step1: Go to the Shram Seva Portal (MPBOCWWB) official website.
Step2: On the homepage, find and click on Planning Application, then register the applications of registered workers for the benefits of schemes.
Step 3: Enter your Labor Registration Number (Portal Code) and the code displayed in the image, then click View Details.
Step 4: Choose the scheme you wish to apply for in order to avail the benefits.
Step 5: Enter all required information and upload the necessary documents as prompted.
Step 6: Finally, click on Submit Application to complete the process.","Aadhaar Card of the applicant (nominee/Legal heirs)
Passport-size photograph 
Proof of residence 
Ration Card
Bank account details
Death certificate of worker
Regular registration certificate of the worker
Nominee/legal heir certificate
F.I.R. And a copy of Panchnama.
Post-mortem report in the state of death.
Disability certificate obtained from District Medical Board in case of permanent disability.",https://labour.mp.gov.in/Public/Pages/Schemes/MratyuSahayta.aspx,https://www.myscheme.gov.in/schemes/baepsicodouldwact,null,null,all,[],null,both,"[""Madhya Pradesh""]",false,false,2026-07-05 09:40:38.056+00
ctms," Consortia & Tender Marketing Scheme","The scheme aims to facilitate Micro and Small Enterprises (MSEs) in marketing their products and services through individual or collective participation in tenders via consortia. It helps MSEs secure bulk orders, improve competitiveness, and access government procurement opportunities.","Ministry Of Micro, Small and Medium Enterprises",null,Central,Business & Entrepreneurship,Business Entity,"- **Market Access:** Facilitates participation in government and PSU tenders.  - **Consortium Formation:** Enables small units to combine capacities and secure bulk orders.  - **Financial Support:** Assistance in EMD and security deposits.  - **Order Distribution:** Ensures fair allocation of orders among consortium members.  - **Credit Facilitation:** Helps in accessing finance for order execution.  - **Capacity Building:** Encourages collaboration among similar MSEs.  - **Procurement Advantage:** Supports inclusion under Public Procurement Policy.
&gt; **Annual Fee Structure of Enlistment &amp;amp; Renewal under Consortia &amp;amp; Tender Marketing Scheme:**

**S.No.****Category****Annual / Renewal Fee**1.If Monetary Limit under Single Point Registration Scheme (SPRS) is up to                                     ₹ 1,00,00,000/-₹  1000+Service Tax2.If Monetary Limit under Single Point Registration Scheme (SPRS) is more                 ₹ 1,00,00,000/-  and up to ₹ 5,00,00,000/-₹  2500+Service Tax3.If Monetary Limit under Single Point Registration Scheme (SPRS) is above                 ₹ 5,00,00,000/-₹  5000+Service Tax4..Units owned by SC/ST entrepreneurs are exempted from the enlistment feeN/A5.There will be no fee for the formation of new / renewal of Consortia. However, while at the time of participation in tender by consortia members, enlistment fee mentioned above will be applicable.N/A> **Service Charges (on line/off line) Open Tender/Limited Enquiries/Nomination Basis/Repeated Orders etc.:**

The service charges for various types of above said tenders are proposed on the basis of value of tender irrespective of their category:
TypeService charges on Bill value before GST (%)Individual2.5Consortia2**Note:**

  - In case of micro units, the service charges may be reduced by 0.5% on the above-mentioned charges.
  - In case EMD and/ or Security Deposit are arranged by NSIC 1% Additional Service Charges would be charged. The said service charges are excluding GST. The services charges shall be deducted from the payment receipt from the buying department and after deducting eh service charges balance amount may be released to the MSE/Consortia.
  - Where the NSIC is required to participate in pre-dispatch inspection team along with the buyer department or other agency, a higher rate of service charge can be levied on case to case basis.

&gt; **Validity of Consortia Agreement:**

  - Consortium agreement entered into between the Corporation and Consortiumshall be valid till officially liquidated by all members and the intimation being served on the respective branch that they (Consortium) do not want to continue as a Consortia members. However, in case of inclusion of new member/s or member/s leaving the consortia of change in Constitution of any member , fresh agreement may be obtained. In order to ascertain the change in the Constitution or addition/deletion of the members, a declaration to the effects to be taken from consortia members that their consortium is alive and there is no change.

<br>","- Micro &amp; Small Enterprises registered with NSIC under its Single Point Registration Scheme (SPRS).

Or,

- Micro &amp; Small Enterprises who apply to get themselves registered with NSIC under the SPRS along with all required documents in terms of the scheme.
- Their factory/unit should be inspected before filing of tender in terms of the Tender Marketing Scheme.","[Offline]
Step 1: The application form, in the prescribed format (Annexures – A and A-1) for enlistment under the Tender Marketing Scheme is to be submitted by the applicant Micro & Small Enterprise (MSE), duly signed by the authorized signatory i.e. Proprietor/Partner(s)/Director(s) of the firm /company /society, along with the documents mentioned in the application form.
Step 2: Fill the form properly, attach all the necessary documents, and send it to the Concerned/Regional NSIC branch office.","A passport size photograph of each of the Proprietor/Partner/Director/Society office bearers along with residential proof
Self-attested copy of G.P. Registration Certificate
Power of Attorney (Annexure – B)/Board Resolution (Annexure – C)/Society Resolution (Annexure – H) authorizing the Partner/Director /Executive to deal with NSIC for enlistment/tender participation and consortium formation.
Bank attested specimen signature of authorized persons.
Copies of recent supply orders.
Enlistment Fee.",https://www.nsic.co.in/pdfs/CTMS_scheme_revised_06062022.pdf,https://www.myscheme.gov.in/schemes/ctms,null,null,all,[],null,both,"[""All""]",false,false,2026-07-05 10:17:48.577+00
fpgsdau," Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University","The scheme ""Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University"" provides a monthly fellowship to meritorious Post-Graduate students across various faculties of Sardarkrushinagar Dantiwada Agricultural University.",null,"Agriculture, Farmers Welfare and Cooperation Department",Gujarat,Education & Learning,Individual,"- **Master’s degree students:** ₹5,000/- per month for 2 years.  - **Ph.D. degree students:** ₹5,000/- per month for 3 years.
&gt; **Note:** The University shall annually award four fellowships in each of the concerned faculties for both Master&amp;#39;s well as Doctorate degree programmes.","- The applicant must be a student.
  - The applicant must be enrolled in a Master’s or Ph.D. program at Sardarkrushinagar Dantiwada Agricultural University (SDAU).
  - The applicant must have secured a first-class or its equivalent OGPA in the qualifying undergraduate or postgraduate examination from a State Agricultural University in Gujarat.
  - The applicant must be 28 years of age or below at the time of application.
  - The applicant must maintain a minimum OGPA of 7.5 and must not receive an “F” (Fail) or “I” (Incomplete) grade during the course of study.

<br>

<br>","[Offline]
Step 1: Obtain the prescribed application form from the University.
Step 2:  Submit the completed application to the Registrar by 31st December of the same year.
Step 3: Selection will be made by a university committee based on merit and eligibility.
Note: Fellowship notification is released by 30th November every year.","Graduate Mark Sheet
Post Graduate Mark sheet
Passport Size Photos
Bank Account Details (should be linked with Aadhaar Number).",https://mariyojana.gujarat.gov.in/Schemeatoz.aspx,https://www.myscheme.gov.in/schemes/fpgsdau,null,28,all,[],null,both,"[""Gujarat""]",false,false,2026-07-05 09:51:23.328+00
free-ug-students-only," Freeship less than ₹1,00,000 (UG students only)","The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Freeship scheme provides full tuition fee exemption to eligible students.",null,Department Of Education,Uttarakhand,Education & Learning,Individual,"Eligible students get a 100% tuition fee waiver.
<br>

<br>

Aims to reduce the financial burden on low-income families and encourage academic excellence.
<br>

<br>

The fee waiver is directly applied during fee processing.
<br>

<br>

Granted once every academic year, at the beginning of the session.
<br>

<br>

Disbursed after the final selection list is approved by the Registrar and Vice Chancellor.
<br>

<br>

Validity:
<br>

<br>

Boys: Up to 3 academic years
<br>

<br>

Girls: Up to 4 academic years
<br>","- The applicant should be enrolled as an undergraduate student at Govind Ballabh Pant University.
- The applicant’s annual family income should be less than ₹1,00,000.
- The applicant must be among the best-performing students as per the university’s merit guidelines.
- The applicant must submit the application in the prescribed format within the deadline.","[Offline]
Step 1: Applications are invited on a prescribed form from eligible and meritorious students.
Step  2: Based on the applications, the Dean Student Welfare prepares a list following the prescribed procedure.
Step  3: The list is forwarded to the Registrar and Vice Chancellor for approval.
Step 4: Once approved, the final list of selected students is issued by an office order.
Step 5: Approved students receive the tuition fee exemption accordingly","Duly Filled Prescribed Application Form
Valid Identity Proof (Aadhaar Card, Voter ID, etc.)
Income Certificate (Issued by a Competent Government Authority)
Latest Academic Mark Sheets
Admission Confirmation Letter
Bank Account Details (Passbook Copy or Cancelled Cheque)",https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/free-ug-students-only,null,null,all,[],100000,both,"[""Uttarakhand""]",false,false,2026-07-05 10:04:14.703+00
gsfe," Garuda Scheme for Funeral Expense","The ""Garuda Scheme for Funeral Expenses"" aims to provide financial assistance for funeral expenses of a deceased Brahmin in their family, where the family has no other means to meet the same. This scheme covers Andhra Pradesh all 13 districts, to meet the funeral expenses of the deceased Brahmi.",null,Andhra Pradesh Brahmin Welfare Corporation,Andhra Pradesh,Social welfare & Empowerment,Individual,"- Financial Assistance of ₹10,000/- for funeral expenses.","1. The applicant should be a close relative of the deceased (Spouse/Son/Daughter/Parent/Brother/Grandson). 
1. The applicant should provide a self-declaration that he/she is the legal heir of the deceased.
1. The applicant should belong to the Brahmin community and reside in Andhra Pradesh.
1. The applicant&#39;s annual family income should not exceed ₹75,000/-.
1. The applicant should not have availed himself/ herself of any amount under any other government scheme for the same purpose.","[Online]
Registration and applyStep 01: Applicants have to visit the official website(https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#) and click on ""Scheme""
Step 02: Click on ""Registration"" After that application form will open
Step 03: Fill out the required details:
Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc
Upload: Photo, Signature and Certificate Details 
Documents: Birth Certificate, Residential Certificate, Aadhar Card, Caste Certificate, Bank Passbook etc
Finalize and ""Submit"" the application.
Step-4: After submission receive the reference number. 
Check Application Status:Step 01: Click on the “Services” link on the menu and select ""Know your status"".
Step 02: Enter the Reference or Mobile or Aadhaar Card Number to get the application status.
Step 03: Select the ""Financial Year"" and Fetch the details. 
Download the Acknowledgement slip:Step 01: Click on the ""Acknowledgement Slip""
Step 02: Enter the Aadhaar Card Number and select the ""Scheme""
Step 03: Click on the ""Submit""","Passport-size Photograph of the Applicant
Aadhar Card of the Applicant
Aadhar Card of the Deceased
White Ration Card/Income Certificate (issued by Mee Seva/Revenue Department)
Caste Certificate (issued from Mee Seva) 
Residence Certificate (issued from Mee Seva) 
Birth Certificate (issued from Mee Seva) 
Income Certificate of the Applicant (issued by Mee Seva/Revenue Department)
Passbook of SB Account in Andhra Bank or SBI (in the name of Applicant)
Self-declaration (the applicant is the legal heir of the deceased Brahmin)
Death Certificate of Deceased Brahmin (issued by any Government)",https://www.andhrabrahmin.ap.gov.in/down/garuda2020.pdf,https://www.myscheme.gov.in/schemes/gsfe,null,null,all,"[""General""]",75000,both,"[""Andhra Pradesh""]",false,false,2026-07-05 09:31:46.123+00
ifticmwstc," Incentive For The Intra Caste Marriage within Scheduled Tribe Community","The scheme ""Incentive for Intra Caste Marriage within the Scheduled Tribe Community"" was launched by the Tribal Welfare Department, Government of Karnataka. The scheme provides an incentive of ₹2,00,000/- to couples who are both from the Scheduled Tribe community but belong to different sub-caste.",null,Tribal Welfare Department,Karnataka,Social welfare & Empowerment,Individual,"An incentive of ₹2,00,000/- is provided to the married couple.","1. The couple should be residing in Karnataka.
1. Both the partners should be from the Scheduled Tribe (ST) community but from different sub-castes.
1. The combined annual income of the couple must be less than ₹2,00,000/-.
1. The couple must apply to this scheme within one year of their marriage.
1. The marriage should have taken place on or after 1st April 2018.","[Online]
Step 1: Visit the official website of the Tribal Welfare Department, Government of Karnataka.
Step 2: In the right pane, click on ""Incentives for Marriage"" and select the ""Incentives to Intra-Caste Marriage"" scheme. You will be directed to the department's dedicated page for that scheme.
Step 3: On the scheme's homepage, scroll down to the bottom and click on ""Registration"".
Step 4: In the online registration form, fill in all the mandatory fields of the form and upload all the mandatory documents in the specified format and size.
Step 5: Carefully review all the information provided by you. After completing the form, click ""Submit"". You will receive a confirmation message via SMS from the Department, and an acknowledgement form will be generated.
Step 6: Print the acknowledgement form for future reference.
Post Application Processes
The Tribal Welfare Department will conduct a spot verification to verify the details provided by the couple and process the application further. After successful spot verification, the incentive will be credited to the couple’s joint account.","Aadhaar Card
Bank Account Details
Marriage Proof
Marriage Photo
Caste Certificate
Income Certificate
Resident Proof
Any other documents as required",https://twd.karnataka.gov.in/,https://www.myscheme.gov.in/schemes/ifticmwstc,null,null,all,"[""ST""]",200000,both,"[""Karnataka""]",false,false,2026-07-05 09:55:44.206+00
ismpsscis," Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy","“State Capital Investment Subsidy” incentives under “Incentive Scheme for MSMEs in Powerloom Sector” scheme implemented by the Dept. of MSME & T, Government of West Bengal, aims to provide subsidy of the fixed capital investment made for its approved project.",null,"Micro, Small & Medium Enterprises and Textiles Department",West Bengal,Business & Entrepreneurship,"Business Entity, Industries, Joint Liability Groups (JLGS), NGO, Registered Societies, Trust, Self Help Groups (SHGS)",- 20% of Fixed Capital Investment on Plant and machinery.,"- The Scheme shall be generally applicable to all micro, small, and medium enterprises (MSMEs) in the powerloom sector.
  - Enterprises must have started production from 01.01.2022 to 31.12.2024.
  - Enterprises should have executed a Four-party agreement with the Directorate of Textiles, Financial institution and Tantuja.
  - The units should be a private sector, cooperative sector and joint sector undertaking as also companies/undertakings
  - owned and managed by the State Government and the Industrial SHGs.
  - The project should be covered by a detailed feasibility report/project prepared for the purpose.
  - The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions.","[Offline]
A micro, small or medium enterprise in Powerloom segment shall duly apply in prescribed form to the Directorate of Textile in Form-A1 before any investment in Plant and machinery (new age shuttle less loom).
Time frame for submission of first Application:Within 12 months from the date of commencement of commercial production (01.01.2022 to 31.12.2024).
Address:Directorate of Textiles, Handlooms, Spinning Mills, Silk Weaving & Handloom Based Handicrafts Division
New Secretariat Buildings,
1, K. S. Roy Road, 5th Floor, 'B' Block,
Kolkata 700001
Tel No. 033-2248 4537 / 2248 6271 (Ext. 215)
Fax No. 033-2248 4537","A copy of the Memorandum of Association and Articles of Association authenticated by the Registrar of Companies/ partnership deed (wherever applicable).
A statement on the name and address of the Directors /Partners /Owners of the enterprise/ Members of Cooperative or Self Help Groups, as applicable.
Copy of approved project report.
A copy of loan sanctions letter and disbursement letter issued by financial institutions/ banks.
Copy of agreement.
A copy of the audited balance sheet for the last 2 years wherever applicable.
Existing manufacturing activities in West Bengal stating items, annual approved capacity, annual production during the last three years (in quantity and value in Rs. Lakh), if applicable.
Copy of the land deed (wherever applicable) (In case of rented /leasehold land / buildings, copy of rent agreement and receipt /lease agreement).
Copy of mutation & conversion certificate of land/ building.
Copy of valid consent to operate certificate from the WBPCB.
Copies regarding SGST.
Copy of Trade Licence.
Copy of first electricity bill (wherever applicable).
Copy of acknowledgement of Udyam Registration.
Copy of SC /ST certificate wherever applicable.
Copy of other statutory licenses/certificates, if necessary.
“Self declaration” as per para 7.1(vi) of the Official Scheme Guidelines.
Self certification on fixed assets as per Annexure-I.",https://wbmsmet.gov.in/home/download/YzA0YzdiMjc0YjAwYjBiMDgwYTRjYmRkOTU1MDY1NGQyNTNjM2YyYWYxMDRhNTkyYjRiMWI1YmVkZDYyOTZlN2YwNDc3ZDgwMDM5YzgxYjhmZWZiMWY2ODI0ZTNjYTUzMjU4N2YwYjViMjJiZTllZjAzYmM3NTRiZTY4ZDk0MTVjVmtvdlJCcjA0ZlpLYjZkbTlPQ0hyUTBaNGRuVzZZOXpHTlpGRkJwcUlZaDNwNXF0S01rSU4rTE5ZS3JCd3VKVmp5c1drM3hEb29QaHlXNit1Vy9CQT09,https://www.myscheme.gov.in/schemes/ismpsscis,null,null,all,[],null,both,"[""West Bengal""]",false,false,2026-07-05 10:13:40.68+00
imspesy," Indira Mahila Shakti Udyam Protsahan Yojana",This scheme launched by the Rajasthan government to empower women by providing them with loans and other financial assistance to start or expand their businesses,null,Women and Child Development Department,Rajasthan,Women and Child,Individual,"> **Loan Limit**

1. Loan amount of ₹ 50,00,000/- to individual women.
1. Loan amount of Rs 1,00,00,000/- to self-help groups.

<br>

> **Margin Money**

- A margin money of 25% of the sanctioned loan amount will be provided under the scheme. For women belonging to Scheduled Castes/Tribes, Scheduled Castes, widows, abandoned women, victims of violence and disabled women, the margin money will be 30% of the sanctioned loan amount.

- **Note**:

   1. The maximum limit of margin money will be ₹ 15,00,000/-.
   1. The applicant&#39;s own contribution (5% / 10% of the project proposal) will be considered for margin money.
   1. Land value will not be included in the project proposal. The maximum limit of loan amount payable for construction of workshop/building will be up to 20% of the sanctioned amount of the project proposal.
   1. The maximum limit of loan for business will be Rs. 10 lakh. Business refers to wholesale or retail purchase-sale of commercial products.

<br>

> **Promotion of collateral security free loans:**

- As per the guidelines of the Reserve Bank of India, collateral security will not be required for loans up to Rs. 10 lakh. Loans above Rs. 10 lakh can be linked with the Credit Guarantee Trust Fund for Micro and Small Enterprises (CGTMSE). The fee amount will be borne by the beneficiary. If the applicant voluntarily wants to give collateral security on the loan, they can do so.

<br>","1. The applicant&#39;s age should be 18 years or more.
1. The applicant should be a permanent resident of Rajasthan.
1. The women&#39;s self-help group or group of these groups (cluster/ federation) must be registered under any department of the state government and in case of cluster/federation of groups, it will be necessary to be registered under the Cooperative Act as per the rules.","[Online]
RegistrationStep-1: Applicant have to visit the official portal. 
Step-2: Click on the option “Register”.
Step-3: Then you will be redirected to the SSO registration page. The registration page will appear with the following options.
  Citizen
Step-4: Choose the either one option from  the Jan Aadhaar Or Google to process further.
Jan Aadhaar : Enter the Jan Aadhaar number, click on the ‘Next’ button,
Select your name, the name of the head of the family and all the other members and 
Click on the ‘Send OTP’ button. Enter the ‘OTP’ and 
Click on the ‘Verify OTP’ button to Complete the registration. 
Google : Enter the Gmail ID, click on the ‘Next’ button, 
Enter the password.
A new link appear on screen, now click on new SSO link.
SSO id will appear on screen, now create the password.
Enter Mobile number, click on registration.
Step-5: Complete the registration process.
Apply Step-1: Applicant have to visit the official portal. 
Step-2: Read the instruction carefullly and click on ""Apply"".
Step-3: Click on an ""Alert"" button and page will redirected to SSO portal. 
Step-4: Now login with credentials. 
Step-5: Now click on ""Apply for Scheme"" on screen. 
Step-6: Now on the new page you will have to fill out the application form in 7 steps.
           - Such as a general description
           - Applicant details
           - Details of applicant and workplace
           - Description of the proposed project
           - Details of proposed financial institution
           - basis of ranking
           - Document Upload and Declaration
Step-7: After filling in all the details in the application form, submit the application form.","Aadhar card.
Address proof.
Bank account statement.
Passport size photo.
Mobile number.",https://ssoapps.rajasthan.gov.in/imsupy/Introduction.aspx,https://www.myscheme.gov.in/schemes/imspesy,18,null,female,[],null,both,"[""Rajasthan""]",false,false,2026-07-05 09:30:46.512+00
